Min,Max,Median,Mean,Point_id,date,Depth,POINTID,pH_CaCl2,pH_H2O,EC,OC,CaCO3,P,N,K,OC (20-30 cm),CaCO3 (20-30 cm),Ox_Al,Ox_Fe,NUTS_0,NUTS_1,NUTS_2,NUTS_3,TH_LAT,TH_LONG,SURVEY_DATE,Elev,LC,LU,LC0_Desc,LC1_Desc,LU1_Desc
0.072884455,0.3484155,0.086154535,0.09757873,49402872,2018-08-21,0-20 cm,49402872,6.3,6.88,8.45,14.3,1,< LOD,1.6,126.4,,,,,SK,SK0,SK02,SK022,48.64285088,18.41756908,30-08-18,251,B11,U111,Cropland,Common wheat,Agriculture (excluding fallow land and kitchen gardens)
0.14223036,0.46493343,0.15538543,0.17351452,49423462,2018-07-27,0-20 cm,49423462,5.7,6.29,18.93,27.35,,30.2,2.8,123.8,,,,,PL,PL6,PL63,PL638,53.89864238,19.47677322,26-07-18,126,B11,U111,Cropland,Common wheat,Agriculture (excluding fallow land and kitchen gardens)
0.51980877,0.76824516,0.6547595,0.65111387,49442722,2018-07-27,0-20 cm,49442722,6.9,7.38,10.09,14.3,,< LOD,1.5,113.9,,,,,HU,HU2,HU21,HU211,47.29885099,18.25070739,26-07-18,159,B11,U111,Cropland,Common wheat,Agriculture (excluding fallow land and kitchen gardens)
0.11309671,0.29241994,0.122784555,0.12871864,49502800,2018-07-02,0-20 cm,49502800,7.2,7.96,20.09,12.2,13,55.3,1.3,226.4,,,0.7,1.6,SK,SK0,SK02,SK023,47.98964473,18.44362467,05-07-18,210,B11,U111,Cropland,Common wheat,Agriculture (excluding fallow land and kitchen gardens)
0.49266532,0.7450014,0.58007866,0.59640265,49523276,2018-09-10,0-20 cm,49523276,7.3,7.93,14.87,11.9,7,38,1.4,29.5,,,,,PL,PL7,PL71,PL715,52.23171701,19.26439333,06-09-18,145,B11,U111,Cropland,Common wheat,Agriculture (excluding fallow land and kitchen gardens)
0.13849287,0.3001334,0.22254008,0.21549046,49523284,2018-09-10,0-20 cm,49523284,5.4,5.85,15.42,9.4,,76.1,1.2,151.5,,,0.4,0.9,PL,PL7,PL71,PL715,52.30293927,19.27933663,06-09-18,161,B11,U111,Cropland,Common wheat,Agriculture (excluding fallow land and kitchen gardens)
0.36793974,0.613529,0.47568953,0.47235528,49542538,2018-07-29,0-20 cm,49542538,5.9,6.52,9.37,11.5,,98.4,1.3,262,,,0.7,3.6,HR,HR0,HR04,HR04B,45.64340865,18.12648406,24-07-18,138,B11,U111,Cropland,Common wheat,Agriculture (excluding fallow land and kitchen gardens)
0.06465947,0.132121,0.07181148,0.073607855,49622620,2018-08-08,0-20 cm,49622620,6.8,7.28,10.26,10.2,,35,1.3,187.6,,,,,HU,HU2,HU23,HU231,46.368943,18.34127156,10-08-18,229,B11,U111,Cropland,Common wheat,Agriculture (excluding fallow land and kitchen gardens)
0.15349631,0.2672375,0.18989432,0.19320703,49642720,2018-08-08,0-20 cm,49642720,7.5,8.15,18.13,16.4,63,15.7,1.5,213.9,,,,,HU,HU2,HU21,HU211,47.26064399,18.51062358,09-08-18,152,B11,U111,Cropland,Common wheat,Agriculture (excluding fallow land and kitchen gardens)
0.22301404,0.29388976,0.258627,0.25816435,49662676,2018-08-08,0-20 cm,49662676,7.3,7.59,11.98,24.3,3,< LOD,2.3,167.7,,,1.3,0.8,HU,HU2,HU21,HU211,46.86544442,18.47277789,08-08-18,136,B11,U111,Cropland,Common wheat,Agriculture (excluding fallow land and kitchen gardens)
0.2866173,0.5784434,0.33728164,0.36712134,49663270,2018-06-07,0-20 cm,49663270,4.9,5.51,6.41,8.3,,61.8,0.9,45.6,,,,,PL,PL7,PL71,PL715,52.16217289,19.4564169,16-06-18,142,B11,U111,Cropland,Common wheat,Agriculture (excluding fallow land and kitchen gardens)
0.17990902,0.4636614,0.20699564,0.21748349,49782648,2018-07-24,0-20 cm,49782648,7.4,7.99,20.48,20.6,74,< LOD,1.7,167.3,,,,,HU,HU2,HU23,HU233,46.60283173,18.58829167,25-07-18,10144,B11,U111,Cropland,Common wheat,Agriculture (excluding fallow land and kitchen gardens)
0.13011153,0.3704509,0.15830399,0.17957139,49782678,2018-07-29,0-20 cm,49782678,6.2,6.81,9.17,11,,86.8,1.1,186.8,,,,,HU,HU2,HU21,HU211,46.87087872,18.63211747,31-07-18,110,B11,U111,Cropland,Common wheat,Agriculture (excluding fallow land and kitchen gardens)
