Min,Max,Median,Mean,Point_id,date,Depth,POINTID,pH_CaCl2,pH_H2O,EC,OC,CaCO3,P,N,K,OC (20-30 cm),CaCO3 (20-30 cm),Ox_Al,Ox_Fe,NUTS_0,NUTS_1,NUTS_2,NUTS_3,TH_LAT,TH_LONG,SURVEY_DATE,Elev,LC,LU,LC0_Desc,LC1_Desc,LU1_Desc
-0.076270096,0.0,-0.02830793,-0.030046927,31002080,2018-08-25,0-20 cm,31002080,6.1,6.71,7.1,9.2,,34.9,1.2,221.9,,,0.4,1.5,ES,ES4,ES41,ES411,40.76214673,-4.49393606,30-08-18,1186,B11,U111,Cropland,Common wheat,Agriculture (excluding fallow land and kitchen gardens)
-0.18857852,0.0,-0.16754636,-0.09371262,31022252,2018-07-26,0-20 cm,31022252,7.6,8.3,12.03,4,97,< LOD,1.1,161.2,,,,,ES,ES4,ES41,ES414,42.28735972,-4.838158235,19-07-18,885,B11,U111,Cropland,Common wheat,Agriculture (excluding fallow land and kitchen gardens)
0.0,0.15460697,0.0,0.06868904,31062184,2018-06-16,0-20 cm,31062184,7.6,7.95,26.91,17.2,258,22.2,1.9,248.8,,,,,ES,ES4,ES41,ES418,41.69323942,-4.642704884,02-06-18,904,B11,U111,Cropland,Common wheat,Agriculture (excluding fallow land and kitchen gardens)
0.0,0.330897,0.14231427,0.10216627,31062246,2018-06-26,0-20 cm,31062246,7.7,8.3,13.02,7.5,144,11,1.2,257.4,,,0.6,0.5,ES,ES4,ES41,ES414,42.24141317,-4.777305093,28-06-18,875,B11,U111,Cropland,Common wheat,Agriculture (excluding fallow land and kitchen gardens)
0.0,0.17476556,0.032154985,0.057167415,31062252,2018-06-26,0-20 cm,31062252,6.1,6.67,3.69,5.9,1,< LOD,0.8,53.9,,,0.5,1.2,ES,ES4,ES41,ES414,42.29443269,-4.790506101,30-06-18,899,B11,U111,Cropland,Common wheat,Agriculture (excluding fallow land and kitchen gardens)
0.0,0.14253648,0.019301074,0.04366793,31102260,2018-06-26,0-20 cm,31102260,7.1,7.35,5.61,9.3,,15.3,1.2,146.4,,,,,ES,ES4,ES41,ES414,42.37217743,-4.760441171,30-06-18,916,B11,U111,Cropland,Common wheat,Agriculture (excluding fallow land and kitchen gardens)
0.0,0.37601236,0.31063488,0.18067329,31162208,2018-06-16,0-20 cm,31162208,7.5,8.84,31.4,18.2,579,12.7,1.4,447.1,,,,,ES,ES4,ES41,ES414,41.92295527,-4.575969038,20-06-18,842,B11,U111,Cropland,Common wheat,Agriculture (excluding fallow land and kitchen gardens)
0.0,0.3466207,0.044891953,0.053675216,31162232,2018-06-16,0-20 cm,31162232,7.3,7.89,7.98,6.2,5,< LOD,0.8,125.2,,,,,ES,ES4,ES41,ES414,42.13520514,-4.62778055,02-06-18,849,B11,U111,Cropland,Common wheat,Agriculture (excluding fallow land and kitchen gardens)
0.0,0.3600326,0.2308124,0.15501843,31182188,2018-06-16,0-20 cm,31182188,7.5,8.05,25.3,12.6,581,14.2,1.3,295.2,,,,,ES,ES4,ES41,ES418,41.74947929,-4.509532166,07-06-18,829,B11,U111,Cropland,Common wheat,Agriculture (excluding fallow land and kitchen gardens)
0.0,0.21922767,0.075937785,0.059642363,31182218,2018-06-16,0-20 cm,31182218,7.6,8.35,12.78,7.4,294,< LOD,0.9,110.2,,,,,ES,ES4,ES41,ES414,42.01488259,-4.573767745,20-06-18,817,B11,U111,Cropland,Common wheat,Agriculture (excluding fallow land and kitchen gardens)
0.0,0.4425087,0.34783047,0.20703444,31202190,2018-06-16,0-20 cm,31202190,7.6,8.07,21.34,13.9,220,22.8,1.7,369.5,,,,,ES,ES4,ES41,ES414,41.77063472,-4.490149966,07-06-18,926,B11,U111,Cropland,Common wheat,Agriculture (excluding fallow land and kitchen gardens)
0.0,0.1647705,0.123090744,0.07253348,31222260,2018-06-26,0-20 cm,31222260,7.5,8.05,9.97,8.3,107,10.1,1.3,131.6,,,,,ES,ES4,ES41,ES414,42.39322282,-4.61723697,27-06-18,949,B11,U111,Cropland,Common wheat,Agriculture (excluding fallow land and kitchen gardens)
0.0,0.28201726,0.15161356,0.10493112,31242216,2018-06-16,0-20 cm,31242216,7.6,8.29,15.13,3.8,63,< LOD,0.5,91.4,,,0.1,0.3,ES,ES4,ES41,ES414,42.00759543,-4.498277139,16-06-18,820,B11,U111,Cropland,Common wheat,Agriculture (excluding fallow land and kitchen gardens)
0.0,0.2928161,0.20060828,0.13363333,31262164,2018-05-22,0-20 cm,31262164,7.5,7.83,26.33,19.7,107,36.2,1.6,241.7,,,0.8,0.5,ES,ES4,ES41,ES418,41.55080127,-4.364442241,23-05-18,884,B11,U111,Cropland,Common wheat,Agriculture (excluding fallow land and kitchen gardens)
-0.16727746,0.0,-0.13730744,-0.0774286,31302214,2018-07-26,0-20 cm,31302214,7.4,8.03,15.72,13.9,268,38.6,1.6,232.2,,,0.5,0.5,ES,ES4,ES41,ES414,42.00025033,-4.422807804,20-07-18,815,B11,U111,Cropland,Common wheat,Agriculture (excluding fallow land and kitchen gardens)
-0.17702197,0.0,-0.15263909,-0.08469781,31321900,2018-08-27,0-20 cm,31321900,6.9,7.22,20.8,11.4,2,< LOD,1.3,120.7,,,,,ES,ES4,ES42,ES422,39.21791512,-3.770131811,28-08-18,731,B11,U111,Cropland,Common wheat,Agriculture (excluding fallow land and kitchen gardens)
-0.18216664,0.0,-0.097694606,-0.06816384,31322218,2018-07-26,0-20 cm,31322218,7.6,8.21,20.81,10.9,482,20.6,1.4,265.8,,,0.1,0.6,ES,ES4,ES41,ES414,42.03908466,-4.407590995,20-07-18,852,B11,U111,Cropland,Common wheat,Agriculture (excluding fallow land and kitchen gardens)
0.0,0.4173897,0.2601108,0.16296865,31342268,2018-06-16,0-20 cm,31342268,7.4,7.87,13.24,13.3,21,12.1,1.7,181.8,,,,,ES,ES4,ES41,ES414,42.48480794,-4.491277359,14-06-18,898,B11,U111,Cropland,Common wheat,Agriculture (excluding fallow land and kitchen gardens)
